Cybercrime,Identification,Mitigation Strategy 1,Mitigation Strategy 2,Mitigation Strategy 3
DNS Spoofing,Redirects to fake websites despite correct URLs.,Use DNSSEC,Monitor DNS traffic,Use secure DNS providers
Cross-Site Scripting (XSS),Unexpected scripts executing in the browser.,Escape user inputs,Use Content Security Policy,Sanitize input fields
Ransomware,Files become inaccessible and a ransom message appears.,Regular backups,Endpoint protection,User awareness training
Botnet,Increased outbound traffic and remote command execution.,Use firewall rules,Patch vulnerabilities,Detect unusual traffic patterns
Rootkit,Hidden files/processes and unauthorized access permissions.,Use rootkit scanners,Reinstall OS,Limit user privileges
Botnet,Increased outbound traffic and remote command execution.,Use firewall rules,Patch vulnerabilities,Detect unusual traffic patterns
Rootkit,Hidden files/processes and unauthorized access permissions.,Use rootkit scanners,Reinstall OS,Limit user privileges
Zero-Day Exploit,Exploitation of unknown software vulnerabilities.,Apply patches promptly,Use threat intelligence,Deploy intrusion detection systems
Man-in-the-Middle Attack,Unexpected behavior during data transmission.,Use encrypted communications (HTTPS),Avoid public Wi-Fi,Implement VPNs
Man-in-the-Middle Attack,Unexpected behavior during data transmission.,Use encrypted communications (HTTPS),Avoid public Wi-Fi,Implement VPNs
DNS Spoofing,Redirects to fake websites despite correct URLs.,Use DNSSEC,Monitor DNS traffic,Use secure DNS providers
Trojan Horse,Legitimate-looking software installs harmful payload.,Educate users,Block untrusted sources,Keep software up-to-date
Adware,Frequent ad pop-ups and browser redirections.,Use ad-blockers,Scan regularly with antivirus,Avoid freeware from unknown sources
Rootkit,Hidden files/processes and unauthorized access permissions.,Use rootkit scanners,Reinstall OS,Limit user privileges
Credential Stuffing,Multiple failed login attempts from unknown IPs.,Use CAPTCHA,Implement account lockout policies,Use MFA
DNS Spoofing,Redirects to fake websites despite correct URLs.,Use DNSSEC,Monitor DNS traffic,Use secure DNS providers
Drive-by Download,Malware installs just by visiting a compromised website.,Use secure browsers,Block outdated plugins,Use web filters
DNS Spoofing,Redirects to fake websites despite correct URLs.,Use DNSSEC,Monitor DNS traffic,Use secure DNS providers
Rootkit,Hidden files/processes and unauthorized access permissions.,Use rootkit scanners,Reinstall OS,Limit user privileges
Drive-by Download,Malware installs just by visiting a compromised website.,Use secure browsers,Block outdated plugins,Use web filters
Cross-Site Scripting (XSS),Unexpected scripts executing in the browser.,Escape user inputs,Use Content Security Policy,Sanitize input fields
Phishing,Unusual email requests with urgent language and suspicious links.,Implement email filtering,Educate users on phishing,Use multi-factor authentication
DNS Spoofing,Redirects to fake websites despite correct URLs.,Use DNSSEC,Monitor DNS traffic,Use secure DNS providers
Rootkit,Hidden files/processes and unauthorized access permissions.,Use rootkit scanners,Reinstall OS,Limit user privileges
Phishing,Unusual email requests with urgent language and suspicious links.,Implement email filtering,Educate users on phishing,Use multi-factor authentication
Credential Stuffing,Multiple failed login attempts from unknown IPs.,Use CAPTCHA,Implement account lockout policies,Use MFA
Phishing,Unusual email requests with urgent language and suspicious links.,Implement email filtering,Educate users on phishing,Use multi-factor authentication
